year,team_full_name,week,weekly_attendance,home,Sb_winners,Sb_winners_prev_years,Playoff_prev_years,Bad_streak,Medium_streak,Good_streak
2000,Pittsburgh Steelers,11,56702.0,True,,,,False,False,True
2000,Pittsburgh Steelers,12,50925.0,True,,,,False,False,True
2000,Pittsburgh Steelers,13,63925.0,False,,,,False,True,False
2000,Pittsburgh Steelers,14,55811.0,True,,,,False,True,False
2000,Pittsburgh Steelers,15,78164.0,False,,,,False,True,False
2000,Pittsburgh Steelers,16,58183.0,True,,,,False,True,False
2000,Pittsburgh Steelers,17,50809.0,False,,,,False,True,False
2000,San Diego Chargers,1,56373.0,False,,,,True,False,False
2000,San Diego Chargers,2,51300.0,True,,,,True,False,False
2000,San Diego Chargers,3,77604.0,False,,,,True,False,False
2000,San Diego Chargers,4,47233.0,True,,,,True,False,False
2000,San Diego Chargers,5,66010.0,False,,,,True,False,False
2000,San Diego Chargers,6,56079.0,True,,,,True,False,False
2000,San Diego Chargers,7,72351.0,False,,,,True,False,False
2000,San Diego Chargers,8,,,,,,True,False,False
2000,San Diego Chargers,9,66659.0,True,,,,True,False,False
2000,San Diego Chargers,10,59884.0,False,,,,True,False,False
2000,San Diego Chargers,11,56896.0,True,,,,True,False,False
2000,San Diego Chargers,12,75218.0,False,,,,True,False,False
2000,San Diego Chargers,13,47228.0,True,,,,True,False,False
2000,San Diego Chargers,14,57255.0,True,,,,True,False,False
2000,San Diego Chargers,15,68805.0,False,,,,True,False,False
2000,San Diego Chargers,16,72159.0,False,,,,True,False,False
2000,San Diego Chargers,17,50809.0,True,,,,True,False,False
2000,San Francisco 49ers,1,54626.0,False,,,,True,False,False
2000,San Francisco 49ers,2,66879.0,True,,,,True,False,False
2000,San Francisco 49ers,3,65945.0,False,,,,True,False,False
2000,San Francisco 49ers,4,64127.0,False,,,,True,False,False
2000,San Francisco 49ers,5,66985.0,True,,,,True,False,False
2000,San Francisco 49ers,6,68344.0,True,,,,True,False,False
2000,San Francisco 49ers,7,59870.0,False,,,,False,True,False
2000,San Francisco 49ers,8,73169.0,False,,,,False,True,False
2000,San Francisco 49ers,9,68109.0,True,,,,False,True,False
2000,San Francisco 49ers,10,64900.0,False,,,,False,True,False
2000,San Francisco 49ers,11,68002.0,True,,,,True,False,False
2000,San Francisco 49ers,12,67447.0,True,,,,True,False,False
2000,San Francisco 49ers,13,,,,,,True,False,False
2000,San Francisco 49ers,14,57255.0,False,,,,True,False,False
2000,San Francisco 49ers,15,67892.0,True,,,,False,True,False
2000,San Francisco 49ers,16,68306.0,True,,,,False,True,False
2000,San Francisco 49ers,17,76098.0,False,,,,False,True,False
2000,Seattle Seahawks,1,72949.0,False,,,,True,False,False
2000,Seattle Seahawks,2,64869.0,True,,,,True,False,False
2000,Seattle Seahawks,3,59513.0,True,,,,True,False,False
2000,Seattle Seahawks,4,47233.0,False,,,,True,False,False
2000,Seattle Seahawks,5,82893.0,False,,,,True,False,False
2000,Seattle Seahawks,6,72192.0,False,,,,False,True,False
2000,Seattle Seahawks,7,63593.0,True,,,,False,True,False
2000,Seattle Seahawks,8,57490.0,False,,,,False,True,False
2000,Seattle Seahawks,9,62141.0,True,,,,False,True,False
2000,Seattle Seahawks,10,59884.0,True,,,,True,False,False
